ticker,concept,end,value,yoy_growth
AFL,NetIncomeLoss_TTM,2015-12-31,2533000000.0,
AFL,NetIncomeLoss_TTM,2016-03-31,2601000000.0,
AFL,NetIncomeLoss_TTM,2016-06-30,2576000000.0,
AFL,NetIncomeLoss_TTM,2016-09-30,2638000000.0,
AFL,NetIncomeLoss_TTM,2016-12-31,2659000000.0,
AFL,NetIncomeLoss_TTM,2017-03-31,2520000000.0,
AFL,NetIncomeLoss_TTM,2017-06-30,2685000000.0,
AFL,NetIncomeLoss_TTM,2017-09-30,2772000000.0,
AFL,NetIncomeLoss_TTM,2017-12-31,4604000000.0,
AFL,NetIncomeLoss_TTM,2018-03-31,4729000000.0,
AFL,NetIncomeLoss_TTM,2018-06-30,4848000000.0,
AFL,NetIncomeLoss_TTM,2018-09-30,4977000000.0,
AFL,NetIncomeLoss_TTM,2018-12-31,2919000000.0,
AFL,NetIncomeLoss_TTM,2019-03-31,3130000000.0,
AFL,NetIncomeLoss_TTM,2019-06-30,3115000000.0,
AFL,NetIncomeLoss_TTM,2019-09-30,3047000000.0,
AFL,NetIncomeLoss_TTM,2019-12-31,3303000000.0,
AFL,NetIncomeLoss_TTM,2020-03-31,2941000000.0,
AFL,NetIncomeLoss_TTM,2020-06-30,2929000000.0,
AFL,NetIncomeLoss_TTM,2020-09-30,4608000000.0,
AFL,NetIncomeLoss_TTM,2020-12-31,4779000000.0,
AFL,NetIncomeLoss_TTM,2021-03-31,5506000000.0,
AFL,NetIncomeLoss_TTM,2021-06-30,5806000000.0,
AFL,NetIncomeLoss_TTM,2021-09-30,4238000000.0,
AFL,NetIncomeLoss_TTM,2021-12-31,4231000000.0,
AFL,NetIncomeLoss_TTM,2022-03-31,3985000000.0,
AFL,NetIncomeLoss_TTM,2022-06-30,4274000000.0,
AFL,NetIncomeLoss_TTM,2022-09-30,5167000000.0,
AFL,NetIncomeLoss_TTM,2022-12-31,4418000000.0,
AFL,NetIncomeLoss_TTM,2023-03-31,4559000000.0,
AFL,NetIncomeLoss_TTM,2023-06-30,4799000000.0,
AFL,NetIncomeLoss_TTM,2023-09-30,4587000000.0,
AFL,NetIncomeLoss_TTM,2023-12-31,4659000000.0,
AFL,NetIncomeLoss_TTM,2024-03-31,5350000000.0,
AFL,NetIncomeLoss_TTM,2024-06-30,5471000000.0,
AFL,NetIncomeLoss_TTM,2024-09-30,3809000000.0,
AFL,NetIncomeLoss_TTM,2024-12-31,5443000000.0,
AFL,NetIncomeLoss_TTM,2025-03-31,3593000000.0,
AFL,NetIncomeLoss_TTM,2025-06-30,2437000000.0,
AFL,NetIncomeLoss_TTM,2025-09-30,4169000000.0,
AFL,NetIncomeLoss_TTM,2025-12-31,3646000000.0,
AFL,NetIncomeLoss_TTM,2026-03-31,4636000000.0,
AMT,NetIncomeLoss_TTM,2008-06-30,,
AMT,NetIncomeLoss_TTM,2008-09-30,,
AMT,NetIncomeLoss_TTM,2009-03-31,,
AMT,NetIncomeLoss_TTM,2009-06-30,334142000.0,
AMT,NetIncomeLoss_TTM,2009-09-30,242711000.0,
AMT,NetIncomeLoss_TTM,2009-12-31,246595000.0,
AMT,NetIncomeLoss_TTM,2010-03-31,284312000.0,
AMT,NetIncomeLoss_TTM,2010-06-30,327688000.0,
AMT,NetIncomeLoss_TTM,2010-09-30,353772000.0,
AMT,NetIncomeLoss_TTM,2010-12-31,372936000.0,
AMT,NetIncomeLoss_TTM,2011-03-31,368460000.0,
AMT,NetIncomeLoss_TTM,2011-06-30,384006000.0,
AMT,NetIncomeLoss_TTM,2011-09-30,274866000.0,
AMT,NetIncomeLoss_TTM,2011-12-31,396462000.0,
AMT,NetIncomeLoss_TTM,2012-03-31,525926000.0,
AMT,NetIncomeLoss_TTM,2012-06-30,458924000.0,
AMT,NetIncomeLoss_TTM,2012-09-30,706714000.0,
AMT,NetIncomeLoss_TTM,2012-12-31,637283000.0,
AMT,NetIncomeLoss_TTM,2013-03-31,587384000.0,
AMT,NetIncomeLoss_TTM,2013-06-30,638996000.0,
AMT,NetIncomeLoss_TTM,2013-09-30,587030000.0,
AMT,NetIncomeLoss_TTM,2013-12-31,551333000.0,
AMT,NetIncomeLoss_TTM,2014-03-31,582425000.0,
AMT,NetIncomeLoss_TTM,2014-06-30,717035000.0,
AMT,NetIncomeLoss_TTM,2014-09-30,744505000.0,
AMT,NetIncomeLoss_TTM,2014-12-31,824910000.0,
AMT,NetIncomeLoss_TTM,2015-03-31,815728000.0,
AMT,NetIncomeLoss_TTM,2015-06-30,737353000.0,
AMT,NetIncomeLoss_TTM,2015-09-30,632759000.0,
AMT,NetIncomeLoss_TTM,2015-12-31,685074000.0,
AMT,NetIncomeLoss_TTM,2016-03-31,766957000.0,
AMT,NetIncomeLoss_TTM,2016-06-30,798501000.0,
AMT,NetIncomeLoss_TTM,2016-09-30,960002000.0,
AMT,NetIncomeLoss_TTM,2016-12-31,956500000.0,
AMT,NetIncomeLoss_TTM,2017-03-31,997400000.0,
AMT,NetIncomeLoss_TTM,2017-06-30,1176800000.0,
AMT,NetIncomeLoss_TTM,2017-09-30,1229600000.0,
AMT,NetIncomeLoss_TTM,2017-12-31,1238900000.0,
AMT,NetIncomeLoss_TTM,2018-03-31,1208000000.0,
AMT,NetIncomeLoss_TTM,2018-06-30,1147700000.0,
AMT,NetIncomeLoss_TTM,2018-09-30,1197300000.0,
AMT,NetIncomeLoss_TTM,2018-12-31,1236400000.0,
AMT,NetIncomeLoss_TTM,2019-03-31,1348600000.0,
AMT,NetIncomeLoss_TTM,2019-06-30,1471000000.0,
AMT,NetIncomeLoss_TTM,2019-09-30,1602700000.0,
AMT,NetIncomeLoss_TTM,2019-12-31,1887800000.0,
AMT,NetIncomeLoss_TTM,2020-03-31,1905400000.0,
AMT,NetIncomeLoss_TTM,2020-06-30,1922400000.0,
AMT,NetIncomeLoss_TTM,2020-09-30,1888200000.0,
AMT,NetIncomeLoss_TTM,2020-12-31,1690600000.0,
AMT,NetIncomeLoss_TTM,2021-03-31,1920600000.0,
AMT,NetIncomeLoss_TTM,2021-06-30,2220800000.0,
AMT,NetIncomeLoss_TTM,2021-09-30,2479400000.0,
AMT,NetIncomeLoss_TTM,2021-12-31,2567700000.0,
AMT,NetIncomeLoss_TTM,2022-03-31,2634400000.0,
AMT,NetIncomeLoss_TTM,2022-06-30,2786300000.0,
AMT,NetIncomeLoss_TTM,2022-09-30,2903000000.0,
AMT,NetIncomeLoss_TTM,2022-12-31,1765800000.0,
AMT,NetIncomeLoss_TTM,2023-03-31,1389900000.0,
AMT,NetIncomeLoss_TTM,2023-06-30,967400000.0,
AMT,NetIncomeLoss_TTM,2023-09-30,714600000.0,
AMT,NetIncomeLoss_TTM,2023-12-31,1483300000.0,
AMT,NetIncomeLoss_TTM,2024-03-31,2064900000.0,
AMT,NetIncomeLoss_TTM,2024-06-30,2489500000.0,
AMT,NetIncomeLoss_TTM,2024-09-30,1110300000.0,
AMT,NetIncomeLoss_TTM,2024-12-31,2255000000.0,
AMT,NetIncomeLoss_TTM,2025-03-31,1826300000.0,
AMT,NetIncomeLoss_TTM,2025-06-30,1292800000.0,
AMT,NetIncomeLoss_TTM,2025-09-30,2938400000.0,
AMT,NetIncomeLoss_TTM,2025-12-31,2529500000.0,
AMT,NetIncomeLoss_TTM,2026-03-31,2900300000.0,
AZO,NetIncomeLoss_TTM,2008-11-22,,
AZO,NetIncomeLoss_TTM,2009-02-14,,
AZO,NetIncomeLoss_TTM,2009-05-09,,
AZO,NetIncomeLoss_TTM,2009-08-29,657049000.0,
AZO,NetIncomeLoss_TTM,2009-11-21,668978000.0,
AZO,NetIncomeLoss_TTM,2010-02-13,676447000.0,
AZO,NetIncomeLoss_TTM,2010-05-08,705503000.0,
AZO,NetIncomeLoss_TTM,2010-08-28,738311000.0,
AZO,NetIncomeLoss_TTM,2010-11-20,767087000.0,
AZO,NetIncomeLoss_TTM,2011-02-12,791810000.0,
AZO,NetIncomeLoss_TTM,2011-05-07,816438000.0,
AZO,NetIncomeLoss_TTM,2011-08-27,848974000.0,
AZO,NetIncomeLoss_TTM,2011-11-19,868023000.0,
AZO,NetIncomeLoss_TTM,2012-02-11,886897000.0,
AZO,NetIncomeLoss_TTM,2012-05-05,908110000.0,
AZO,NetIncomeLoss_TTM,2012-08-25,930373000.0,
AZO,NetIncomeLoss_TTM,2012-11-17,942700000.0,
AZO,NetIncomeLoss_TTM,2013-02-09,952017000.0,
AZO,NetIncomeLoss_TTM,2013-05-04,969014000.0,
AZO,NetIncomeLoss_TTM,2013-08-31,1016480000.0,
AZO,NetIncomeLoss_TTM,2013-11-23,1031115000.0,
AZO,NetIncomeLoss_TTM,2014-02-15,1047698000.0,
AZO,NetIncomeLoss_TTM,2014-05-10,1067272000.0,
AZO,NetIncomeLoss_TTM,2014-08-30,1069744000.0,
AZO,NetIncomeLoss_TTM,2014-11-22,1089967000.0,
AZO,NetIncomeLoss_TTM,2015-02-14,1108860000.0,
AZO,NetIncomeLoss_TTM,2015-05-09,1132774000.0,
AZO,NetIncomeLoss_TTM,2015-08-29,1160241000.0,
AZO,NetIncomeLoss_TTM,2015-11-21,1180043000.0,
AZO,NetIncomeLoss_TTM,2016-02-13,1196933000.0,
AZO,NetIncomeLoss_TTM,2016-05-07,1215377000.0,
AZO,NetIncomeLoss_TTM,2016-08-27,1241007000.0,
AZO,NetIncomeLoss_TTM,2016-11-19,1261020000.0,
AZO,NetIncomeLoss_TTM,2017-02-11,1269552000.0,
AZO,NetIncomeLoss_TTM,2017-05-06,1273737000.0,
AZO,NetIncomeLoss_TTM,2017-08-26,1280869000.0,
AZO,NetIncomeLoss_TTM,2017-11-18,1283747000.0,
AZO,NetIncomeLoss_TTM,2018-02-10,1336132000.0,
AZO,NetIncomeLoss_TTM,2018-05-05,1371153000.0,
AZO,NetIncomeLoss_TTM,2018-08-25,1337536000.0,
AZO,NetIncomeLoss_TTM,2018-11-17,1407939000.0,
AZO,NetIncomeLoss_TTM,2019-02-09,1413047000.0,
AZO,NetIncomeLoss_TTM,2019-05-04,1452275000.0,
AZO,NetIncomeLoss_TTM,2019-08-31,1617221000.0,
AZO,NetIncomeLoss_TTM,2019-11-23,1616153000.0,
AZO,NetIncomeLoss_TTM,2020-02-15,1620797000.0,
AZO,NetIncomeLoss_TTM,2020-05-09,1557744000.0,
AZO,NetIncomeLoss_TTM,2020-08-29,1732972000.0,
AZO,NetIncomeLoss_TTM,2020-11-21,1825067000.0,
AZO,NetIncomeLoss_TTM,2021-02-13,1871731000.0,
AZO,NetIncomeLoss_TTM,2021-05-08,2124999000.0,
AZO,NetIncomeLoss_TTM,2021-08-28,2170314000.0,
AZO,NetIncomeLoss_TTM,2021-11-20,2283116000.0,
AZO,NetIncomeLoss_TTM,2022-02-12,2408925000.0,
AZO,NetIncomeLoss_TTM,2022-05-07,2405332000.0,
AZO,NetIncomeLoss_TTM,2022-08-27,2429604000.0,
AZO,NetIncomeLoss_TTM,2022-11-19,2413687000.0,
AZO,NetIncomeLoss_TTM,2023-02-11,2418476000.0,
AZO,NetIncomeLoss_TTM,2023-05-06,2473628000.0,
AZO,NetIncomeLoss_TTM,2023-08-26,2528426000.0,
AZO,NetIncomeLoss_TTM,2023-11-18,2582571000.0,
AZO,NetIncomeLoss_TTM,2024-02-10,2621057000.0,
AZO,NetIncomeLoss_TTM,2024-05-04,2625060000.0,
AZO,NetIncomeLoss_TTM,2024-08-31,2662427000.0,
AZO,NetIncomeLoss_TTM,2024-11-23,2633897000.0,
AZO,NetIncomeLoss_TTM,2025-02-15,2606790000.0,
AZO,NetIncomeLoss_TTM,2025-05-10,2563504000.0,
AZO,NetIncomeLoss_TTM,2025-08-30,2498247000.0,
AZO,NetIncomeLoss_TTM,2025-11-22,2464137000.0,
AZO,NetIncomeLoss_TTM,2026-02-14,2445074000.0,
AZO,NetIncomeLoss_TTM,2026-05-09,2478125000.0,
BAC,NetIncomeLoss_TTM,2008-06-30,,
BAC,NetIncomeLoss_TTM,2008-09-30,,
BAC,NetIncomeLoss_TTM,2009-03-31,,
